essay_id,prompt_name,predicted
000fe60,The Face on Mars,True
001ab80,Driverless cars,True
001bdc0,Exploring Venus,True
0033037,Facial action coding system,True
0065bd6,Driverless cars,True
007db64,Facial action coding system,True
0087059,Exploring Venus,True
00a541a,Exploring Venus,True
00c3589,Exploring Venus,True
00d027f,Facial action coding system,True
00da297,Exploring Venus,True
00dd003,Facial action coding system,True
00e5687,Exploring Venus,True
00eabc5,Facial action coding system,True
00fca9b,Exploring Venus,True
00fd564,Facial action coding system,True
01267d1,The Face on Mars,True
012f8f0,Exploring Venus,True
0155be4,Driverless cars,True
01665d5,Facial action coding system,True
016ed64,Exploring Venus,True
018ff85,Driverless cars,True
019e8c3,Driverless cars,True
01a0d33,Driverless cars,True
01ad79e,Facial action coding system,True
01bd69c,Facial action coding system,True
01c1169,Facial action coding system,True
01c3e09,Exploring Venus,True
01c5e87,Driverless cars,True
01e64c4,Exploring Venus,True
01e78c7,Exploring Venus,True
01ec1a3,The Face on Mars,True
0200fbc,Exploring Venus,True
0226250,Driverless cars,True
0226c11,The Face on Mars,True
0273b7b,Exploring Venus,True
027a1f9,The Face on Mars,True
028d00e,Driverless cars,True
0293f31,Facial action coding system,True
02a059f,Exploring Venus,True
02a1c3a,Driverless cars,True
02ab5d2,Driverless cars,True
02d1c60,Driverless cars,True
02f14c6,The Face on Mars,True
0305a15,Driverless cars,True
030b9ea,The Face on Mars,True
03314fd,Facial action coding system,True
033a27e,Driverless cars,True
03448b6,Exploring Venus,True
0345980,Driverless cars,True
0347bb4,Facial action coding system,True
03afc1e,Facial action coding system,True
03c75d3,Facial action coding system,True
03ca725,"""A Cowboy Who Rode the Waves""",True
03d8fe8,Facial action coding system,True
03f958f,Driverless cars,True
040bb8a,Driverless cars,True
04128c7,Driverless cars,True
0425a6e,Exploring Venus,True
04575a9,Facial action coding system,True
047bb6e,Driverless cars,True
0499982,Driverless cars,True
04af97d,Driverless cars,True
04b4ad6,Exploring Venus,True
04d409d,Driverless cars,True
04da4bf,Facial action coding system,True
04db8d6,Exploring Venus,True
04e1cec,Facial action coding system,True
04e6cd8,The Face on Mars,True
04ef8ff,Driverless cars,True
04fcfb0,The Face on Mars,True
0502b23,Facial action coding system,True
0509d92,The Face on Mars,True
051429c,Exploring Venus,True
05182bf,The Face on Mars,True
053f99e,Driverless cars,True
053fa01,The Face on Mars,True
0540b80,Driverless cars,True
05592d5,Driverless cars,True
056394c,Driverless cars,True
0581013,The Face on Mars,True
05b0858,Exploring Venus,True
05bcd1b,Exploring Venus,True
05c2752,Driverless cars,True
05c94e5,Exploring Venus,True
05d73d1,Driverless cars,True
05dcee6,Facial action coding system,True
05e1eae,Exploring Venus,True
05e6736,Driverless cars,True
05f81ce,Driverless cars,True
06041d8,Exploring Venus,True
060d2bb,The Face on Mars,True
0613e60,Driverless cars,True
06333c3,Driverless cars,True
0640183,Facial action coding system,True
0667fd7,Facial action coding system,True
06730ad,"""A Cowboy Who Rode the Waves""",True
06743f8,Driverless cars,True
0674a38,Driverless cars,True
06766be,Driverless cars,True
0679f5a,Exploring Venus,True
067a23d,Exploring Venus,True
0687af4,Driverless cars,True
068aea7,Driverless cars,True
06939ab,Driverless cars,True
069cd67,Driverless cars,True
06a0e57,Driverless cars,True
06bad05,Facial action coding system,True
06be122,The Face on Mars,True
06c7ba1,Driverless cars,True
06ed983,Facial action coding system,True
06ef6d4,The Face on Mars,True
070faae,Facial action coding system,True
071de41,Facial action coding system,True
0728321,The Face on Mars,True
